index,taxon,lat,lon,value,unit,dataset,datetime,subset,taxons
30802,Dinophysis acuminata,43.378148429,4.8457282509,440.0,Nombre par litre,MED,1987-08-20 19:00:00,val,[440.   0.   0.   0.   0.   0.]
30440,Chaetoceros,43.38281552,4.8792288294,800.0,Nombre par litre,MED,1987-08-24 10:30:00,val,[300. 300. 800.   0.   0.   0.]
11481,Dinophysis acuminata,43.3892333,3.7006861111,200.0,Nombre par litre,MED,1987-08-24 11:00:00,test,[300.   0.   0.   0.   0.   0.]
30803,Chaetoceros,43.378148429,4.8457282509,1000.0,Nombre par litre,MED,1987-08-26 11:30:00,val,[ 200.  600. 1000.    0.    0.    0.]
188,Dinophysis acuminata,43.0981257299,3.1345334178,700.0,Nombre par litre,MED,1987-08-31 10:00:00,train,[700.   0.   0.   0.   0.   0.]
11366,Dinophysis acuminata,43.44318,3.85573,400.0,Nombre par litre,MED,1987-08-31 10:00:00,test,[400.   0.   0.   0.   0.   0.]
30443,Dinophysis acuminata,43.38281552,4.8792288294,100.0,Nombre par litre,MED,1987-08-31 10:30:00,val,[100.   0.   0.   0.   0.   0.]
11483,Dinophysis acuminata,43.3892333,3.7006861111,200.0,Nombre par litre,MED,1987-08-31 11:00:00,test,[200.   0.   0.   0.   0.   0.]
30806,Chaetoceros,43.378148429,4.8457282509,33400.0,Nombre par litre,MED,1987-08-31 11:10:00,val,[  100.     0. 33400.     0.     0.     0.]
33027,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1987-09-01 15:00:00,val,[0. 0. 0. 0. 0. 0.]
16153,Chaetoceros,43.4343047641,3.6645374015,284000.0,Nombre par litre,MED,1987-09-03 10:00:00,train,[     0.      0. 284000.      0.      0.      0.]
19311,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-09-03 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30808,Dinophysis acuminata,43.378148429,4.8457282509,400.0,Nombre par litre,MED,1987-09-04 10:00:00,val,[1100.    0.    0.    0.    0.    0.]
189,Dinophysis acuminata,43.0981257299,3.1345334178,200.0,Nombre par litre,MED,1987-09-07 10:00:00,train,[400.   0.   0.   0.   0.   0.]
30812,Dinophysis acuminata,43.378148429,4.8457282509,700.0,Nombre par litre,MED,1987-09-07 10:00:00,val,[700. 100.   0.   0.   0.   0.]
11367,Dinophysis acuminata,43.44318,3.85573,0.0,Nombre par litre,MED,1987-09-07 10:00:00,test,[100.   0.   0.   0.   0.   0.]
11485,Dinophysis acuminata,43.3892333,3.7006861111,0.0,Nombre par litre,MED,1987-09-07 11:00:00,test,[200.   0.   0.   0.   0.   0.]
27463,Dinophysis acuminata,43.4351470604,4.5775552474,100.0,Nombre par litre,MED,1987-09-07 15:00:00,val,[100.   0.   0.   0.   0.   0.]
36645,Chaetoceros,42.0768824658,9.7958493007,8400.0,Nombre par litre,MED,1987-09-10 10:00:00,val,[   0. 6900. 8400.    0.    0.    0.]
30814,Dinophysis acuminata,43.378148429,4.8457282509,550.0,Nombre par litre,MED,1987-09-10 10:00:00,val,[1950.    0.    0.    0.    0.    0.]
35182,Chaetoceros,42.134664825,9.5406780702,25800.0,Nombre par litre,MED,1987-09-10 15:00:00,val,[    0.   600. 25800.     0.     0.     0.]
0,Dinophysis acuminata,42.5121136826,3.1407108476,100.0,Nombre par litre,MED,1987-09-14 10:00:00,train,[100.   0.   0.   0.   0.   0.]
191,Dinophysis acuminata,43.0981257299,3.1345334178,1200.0,Nombre par litre,MED,1987-09-14 10:00:00,train,[1300.    0.    0.    0.    0.    0.]
11369,Dinophysis acuminata,43.44318,3.85573,0.0,Nombre par litre,MED,1987-09-14 10:00:00,test,[0. 0. 0. 0. 0. 0.]
30816,Dinophysis acuminata,43.378148429,4.8457282509,100.0,Nombre par litre,MED,1987-09-14 11:00:00,val,[100.   0.   0.   0.   0.   0.]
11487,Dinophysis acuminata,43.3892333,3.7006861111,400.0,Nombre par litre,MED,1987-09-14 11:00:00,test,[400.   0.   0.   0.   0.   0.]
27464,Dinophysis acuminata,43.457109,4.494486,100.0,Nombre par litre,MED,1987-09-14 17:00:00,test,[100.   0.   0.   0.   0.   0.]
30817,Dinophysis acuminata,43.378148429,4.8457282509,500.0,Nombre par litre,MED,1987-09-18 11:00:00,val,[500.   0.   0.   0.   0.   0.]
1,Dinophysis acuminata,42.5121136826,3.1407108476,50.0,Nombre par litre,MED,1987-09-21 10:00:00,train,[50.  0.  0.  0.  0.  0.]
193,Dinophysis acuminata,43.0981257299,3.1345334178,0.0,Nombre par litre,MED,1987-09-21 10:00:00,train,[0. 0. 0. 0. 0. 0.]
11371,Dinophysis acuminata,43.44318,3.85573,0.0,Nombre par litre,MED,1987-09-21 10:00:00,test,[100.   0.   0.   0.   0.   0.]
30444,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1987-09-21 10:30:00,val,[500.   0.   0.   0.   0.   0.]
30818,Dinophysis acuminata,43.378148429,4.8457282509,100.0,Nombre par litre,MED,1987-09-21 11:00:00,val,[100.   0.   0.   0.   0.   0.]
11489,Dinophysis acuminata,43.3892333,3.7006861111,200.0,Nombre par litre,MED,1987-09-21 11:00:00,test,[200.   0.   0.   0.   0.   0.]
33028,Chaetoceros,43.0873189621,5.9064212393,26800.0,Nombre par litre,MED,1987-09-23 11:00:00,val,[    0.     0. 26800.     0.     0.     0.]
16155,Chaetoceros,43.4343047641,3.6645374015,120000.0,Nombre par litre,MED,1987-09-28 10:00:00,train,[     0.      0. 120000.      0.      0.      0.]
11373,Dinophysis acuminata,43.44318,3.85573,0.0,Nombre par litre,MED,1987-09-28 10:30:00,test,[0. 0. 0. 0. 0. 0.]
195,Dinophysis acuminata,43.0981257299,3.1345334178,0.0,Nombre par litre,MED,1987-09-28 11:00:00,train,[0. 0. 0. 0. 0. 0.]
19312,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-09-28 11:00:00,train,[0. 0. 0. 0. 0. 0.]
11491,Dinophysis acuminata,43.3892333,3.7006861111,0.0,Nombre par litre,MED,1987-09-28 11:00:00,test,[50.  0.  0.  0.  0.  0.]
30819,Dinophysis acuminata,43.378148429,4.8457282509,300.0,Nombre par litre,MED,1987-09-29 11:00:00,val,[   700.    700. 250000.      0.      0.      0.]
30446,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1987-10-06 10:45:00,val,[0. 0. 0. 0. 0. 0.]
30823,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1987-10-06 12:35:00,val,[0. 0. 0. 0. 0. 0.]
33030,Chaetoceros,43.0873189621,5.9064212393,300.0,Nombre par litre,MED,1987-10-12 11:05:00,val,[  0.   0. 300.   0.   0.   0.]
196,Dinophysis acuminata,43.0981257299,3.1345334178,0.0,Nombre par litre,MED,1987-10-13 10:00:00,train,[0. 0. 0. 0. 0. 0.]
30824,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1987-10-13 11:00:00,val,[0. 0. 0. 0. 0. 0.]
11493,Dinophysis acuminata,43.3892333,3.7006861111,0.0,Nombre par litre,MED,1987-10-13 11:00:00,test,[0. 0. 0. 0. 0. 0.]
30447,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1987-10-19 10:15:00,val,[0. 0. 0. 0. 0. 0.]
30825,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1987-10-19 10:30:00,val,[0. 0. 0. 0. 0. 0.]
36648,Chaetoceros,42.0768824658,9.7958493007,35100.0,Nombre par litre,MED,1987-10-19 12:00:00,val,[    0.  2400. 35100.     0.     0.     0.]
35185,Dinophysis,42.134664825,9.5406780702,200.0,Nombre par litre,MED,1987-10-19 15:30:00,val,[   0. 3600.    0.  200.    0.    0.]
198,Dinophysis acuminata,43.0981257299,3.1345334178,0.0,Nombre par litre,MED,1987-10-20 10:00:00,train,[0. 0. 0. 0. 0. 0.]
16157,Chaetoceros,43.4343047641,3.6645374015,8000.0,Nombre par litre,MED,1987-10-26 10:00:00,train,[   0.    0. 8000.    0.    0.    0.]
30826,Chaetoceros,43.378148429,4.8457282509,1000.0,Nombre par litre,MED,1987-10-26 10:30:00,val,[   0.    0. 1000.    0.    0.    0.]
33032,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1987-10-26 11:00:00,val,[0. 0. 0. 0. 0. 0.]
19313,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1987-10-26 11:00:00,train,[0. 0. 0. 0. 0. 0.]
2702,Chaetoceros,42.8727865115,3.0143685963,66000.0,Nombre par litre,MED,1987-11-03 10:45:00,train,[    0.     0. 66000.     0.     0.     0.]
5417,Dinophysis acuminata,42.8851203029,3.0348687607,0.0,Nombre par litre,MED,1987-11-03 11:30:00,train,[0. 0. 0. 0. 0. 0.]
16159,Chaetoceros,43.4343047641,3.6645374015,72000.0,Nombre par litre,MED,1987-11-09 10:00:00,train,[    0.     0. 72000.     0.     0.     0.]
33033,Chaetoceros,43.0873189621,5.9064212393,100.0,Nombre par litre,MED,1987-11-16 10:30:00,val,[  0.   0. 100.   0.   0.   0.]
30828,Chaetoceros,43.378148429,4.8457282509,1800.0,Nombre par litre,MED,1987-11-17 14:30:00,val,[   0.    0. 1800.    0.    0.    0.]
30830,Chaetoceros,43.378148429,4.8457282509,4800.0,Nombre par litre,MED,1987-11-24 10:30:00,val,[   0.    0. 4800.    0.    0.    0.]
30448,Chaetoceros,43.38281552,4.8792288294,500.0,Nombre par litre,MED,1987-11-30 10:45:00,val,[  0. 100. 500.   0.   0.   0.]
30832,Chaetoceros,43.378148429,4.8457282509,6800.0,Nombre par litre,MED,1987-11-30 11:15:00,val,[   0.    0. 6800.    0.    0.    0.]
33035,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1987-11-30 14:50:00,val,[0. 0. 0. 0. 0. 0.]
30834,Chaetoceros,43.378148429,4.8457282509,4000.0,Nombre par litre,MED,1987-12-07 10:55:00,val,[   0.    0. 4000.    0.    0.    0.]
33036,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1987-12-08 11:00:00,val,[0. 0. 0. 0. 0. 0.]
30836,Chaetoceros,43.378148429,4.8457282509,3800.0,Nombre par litre,MED,1987-12-14 11:00:00,val,[   0.    0. 3800.    0.    0.    0.]
35188,Chaetoceros,42.134664825,9.5406780702,600.0,Nombre par litre,MED,1987-12-14 15:20:00,val,[200.   0. 600.   0.   0.   0.]
36651,Dinophysis acuminata,42.0768824658,9.7958493007,0.0,Nombre par litre,MED,1987-12-14 17:15:00,val,[0. 0. 0. 0. 0. 0.]
2,Dinophysis acuminata,42.5121136826,3.1407108476,0.0,Nombre par litre,MED,1987-12-15 15:00:00,train,[0. 0. 0. 0. 0. 0.]
16161,Dinophysis acuminata,43.4343047641,3.6645374015,0.0,Nombre par litre,MED,1987-12-21 10:00:00,train,[0. 0. 0. 0. 0. 0.]
30838,Chaetoceros,43.378148429,4.8457282509,1600.0,Nombre par litre,MED,1987-12-21 10:15:00,val,[   0.    0. 1600.    0.    0.    0.]
30840,Chaetoceros,43.378148429,4.8457282509,48400.0,Nombre par litre,MED,1987-12-28 10:00:00,val,[    0.     0. 48400.     0.     0.     0.]
33037,Chaetoceros,43.0873189621,5.9064212393,8600.0,Nombre par litre,MED,1987-12-28 11:10:00,val,[   0.  500. 8600.    0.    0.    0.]
16162,Chaetoceros,43.4343047641,3.6645374015,27400.0,Nombre par litre,MED,1988-01-04 10:00:00,train,[    0.     0. 27400.     0.     0.     0.]
30842,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1988-01-04 10:15:00,val,[0. 0. 0. 0. 0. 0.]
33040,Chaetoceros,43.0873189621,5.9064212393,300.0,Nombre par litre,MED,1988-01-08 10:45:00,val,[   0. 1200.  300.    0.    0.    0.]
30451,Chaetoceros,43.38281552,4.8792288294,13000.0,Nombre par litre,MED,1988-01-11 11:30:00,val,[    0.     0. 13000.     0.     0.     0.]
30843,Chaetoceros,43.378148429,4.8457282509,18600.0,Nombre par litre,MED,1988-01-11 12:30:00,val,[    0.     0. 18600.     0.     0.     0.]
16164,Chaetoceros,43.4343047641,3.6645374015,2000.0,Nombre par litre,MED,1988-01-18 10:00:00,train,[   0.    0. 2000.    0.    0.    0.]
33043,Chaetoceros,43.0873189621,5.9064212393,600.0,Nombre par litre,MED,1988-01-25 10:50:00,val,[  0.   0. 600.   0.   0.   0.]
30453,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1988-01-26 10:50:00,val,[0. 0. 0. 0. 0. 0.]
30845,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1988-01-26 11:10:00,val,[0. 0. 0. 0. 0. 0.]
2704,Dinophysis acuminata,42.8727865115,3.0143685963,0.0,Nombre par litre,MED,1988-01-28 10:00:00,train,[0. 0. 0. 0. 0. 0.]
30846,Dinophysis acuminata,43.378148429,4.8457282509,0.0,Nombre par litre,MED,1988-02-01 11:30:00,val,[0. 0. 0. 0. 0. 0.]
16166,Dinophysis acuminata,43.4343047641,3.6645374015,0.0,Nombre par litre,MED,1988-02-02 10:00:00,train,[0. 0. 0. 0. 0. 0.]
30847,Chaetoceros,43.378148429,4.8457282509,100.0,Nombre par litre,MED,1988-02-08 11:15:00,val,[  0.   0. 100.   0.   0.   0.]
36652,Dinophysis acuminata,42.0768824658,9.7958493007,0.0,Nombre par litre,MED,1988-02-15 10:35:00,val,[0. 0. 0. 0. 0. 0.]
30454,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1988-02-15 11:15:00,val,[0. 0. 0. 0. 0. 0.]
35190,Chaetoceros,42.134664825,9.5406780702,500.0,Nombre par litre,MED,1988-02-15 14:20:00,val,[  0.   0. 500.   0.   0.   0.]
16167,Chaetoceros,43.4343047641,3.6645374015,14500.0,Nombre par litre,MED,1988-02-16 10:00:00,train,[    0.     0. 14500.     0.     0.     0.]
30849,Chaetoceros,43.378148429,4.8457282509,300.0,Nombre par litre,MED,1988-02-19 10:30:00,val,[  0.   0. 300.   0.   0.   0.]
30455,Dinophysis acuminata,43.38281552,4.8792288294,0.0,Nombre par litre,MED,1988-02-22 10:15:00,val,[0. 0. 0. 0. 0. 0.]
5418,Dinophysis acuminata,42.8851203029,3.0348687607,0.0,Nombre par litre,MED,1988-02-23 10:00:00,train,[0. 0. 0. 0. 0. 0.]
2705,Chaetoceros,42.8727865115,3.0143685963,1400.0,Nombre par litre,MED,1988-02-23 10:30:00,train,[   0.    0. 1400.    0.    0.    0.]
33045,Dinophysis acuminata,43.0873189621,5.9064212393,0.0,Nombre par litre,MED,1988-02-23 10:35:00,val,[0. 0. 0. 0. 0. 0.]
33046,Chaetoceros,43.0873189621,5.9064212393,2900.0,Nombre par litre,MED,1988-02-29 10:45:00,val,[   0.  700. 2900.    0.    0.    0.]
30456,Chaetoceros,43.38281552,4.8792288294,600.0,Nombre par litre,MED,1988-03-07 10:15:00,val,[  0.   0. 600.   0.   0.   0.]
16169,Chaetoceros,43.4343047641,3.6645374015,114000.0,Nombre par litre,MED,1988-03-15 10:00:00,train,[     0.      0. 114000.      0.      0.      0.]
33049,Dinophysis acuminata,43.0873189621,5.9064212393,300.0,Nombre par litre,MED,1988-03-15 10:45:00,val,[300.   0.   0.   0.   0.   0.]
19314,Dinophysis acuminata,43.3776359209,3.5668698951,0.0,Nombre par litre,MED,1988-03-15 11:00:00,train,[0. 0. 0. 0. 0. 0.]
30458,Chaetoceros,43.38281552,4.8792288294,4600.0,Nombre par litre,MED,1988-03-21 10:30:00,val,[   0.    0. 4600.    0.    0.    0.]
16171,Chaetoceros,43.4343047641,3.6645374015,43600.0,Nombre par litre,MED,1988-03-28 10:00:00,train,[    0.     0. 43600.     0.     0.     0.]
